day	hour	value
1	1	7.0
1	2	2.0
1	3	0.0
1	4	2.0
1	5	1.0
1	6	0.0
1	7	0.0
1	8	2.0
1	9	1.0
1	10	1.0
1	11	1.0
1	12	1.0
1	13	0.0
1	14	2.0
1	15	1.0
1	16	1.0
1	17	0.0
1	18	0.0
1	19	5.0
1	20	0.0
1	21	13.0
1	22	12.0
1	23	4.0
1	24	1.0
1	25	4.0
1	26	4.0
1	27	4.0
1	28	0.0
1	29	1.0
1	30	6.0
1	31	20.0
1	32	1.0
1	33	0.0
1	34	0.0
1	35	2.0
1	36	0.0
1	37	0.0
1	38	1.0
1	39	5.0
1	40	0.0
2	1	6.0
2	2	2.0
2	3	9.0
2	4	14.0
2	5	5.0
2	6	8.0
2	7	11.0
2	8	10.0
2	9	72.0
2	10	4.0
2	11	8.0
2	12	3.0
2	13	0.0
2	14	3.0
2	15	2.0
2	16	1.0
2	17	0.0
2	18	1.0
2	19	1.0
2	20	5.0
2	21	5.0
2	22	16.0
2	23	27.0
2	24	6.0
2	25	6.0
2	26	0.0
2	27	0.0
2	28	6.0
2	29	4.0
2	30	1.0
2	31	3.0
2	32	1.0
2	33	0.0
2	34	0.0
2	35	2.0
2	36	0.0
2	37	3.0
2	38	1.0
2	39	2.0
2	40	0.0
3	1	0.0
3	2	8.0
3	3	18.0
3	4	387.0
3	5	464.0
3	6	10.0
3	7	104.0
3	8	55.0
3	9	53.0
3	10	31.0
3	11	174.0
3	12	41.0
3	13	7.0
3	14	20.0
3	15	9.0
3	16	97.0
3	17	2.0
3	18	56.0
3	19	0.0
3	20	21.0
3	21	1.0
3	22	6.0
3	23	27.0
3	24	24.0
3	25	1.0
3	26	1.0
3	27	13.0
3	28	8.0
3	29	2.0
3	30	21.0
3	31	1.0
3	32	1.0
3	33	1.0
3	34	0.0
3	35	1.0
3	36	0.0
3	37	0.0
3	38	1.0
3	39	26.0
3	40	4.0
4	1	4.0
4	2	13.0
4	3	101.0
4	4	50.0
4	5	332.0
4	6	31.0
4	7	128.0
4	8	19.0
4	9	95.0
4	10	24.0
4	11	47.0
